net,length_um
_101_,266.92
_103_,249.64
_119_,248.61
_107_,244.04
_100_,228.215
_156_,213.55
net5,213.35
net11,203.94
net19,202.24
_112_,200.97
_029_,197.26
_106_,194.88
_118_,192.14
net13,187.68
_023_,185.7
net18,179.72
_104_,172.28
net14,171.85
_162_,169.96
_151_,169.54
net7,169.285
net8,169.17
net4,166.24
_163_,166.11
_166_,166.09
net10,163.92
net17,163.06
net9,162.25
_153_,157.28
net3,156.74
_000_,156.33
net2,150.07
_158_,147.03
_133_,145.63
_150_,145.47
_035_,142.61
_008_,137.24
net16,132.7
_128_,132.47
_057_,131.86
_105_,130.96
net6,129.7
_114_,128.95
net12,127.61
_043_,127.26
_002_,126.2
_030_,125.44
_099_,123.87
_001_,122.27
_033_,119.88
_011_,119.85
_014_,119.7
_073_,119
_113_,118.79
_027_,116.08
_110_,115.63
_064_,113.34
_169_,112.69
_039_,110.23
_164_,108.58
_098_,108.02
_079_,105.72
net15,105.58
_116_,105.39
_115_,105.36
_012_,104.91
_010_,104.4
_134_,103.54
_111_,102.68
_138_,102.52
_092_,102.46
_038_,101.6
_080_,101.48
_143_,99.92
_031_,99.2
_141_,98.01
_068_,97.92
_015_,97.32
_071_,96.74
net20,96.4
net22,95.54
_063_,94.34
net23,93.26
_082_,92.78
_090_,92
_050_,91
_059_,89.23
_125_,88.32
_025_,87.89
_129_,87.48
_066_,86.85
_102_,85.5
_155_,83.84
_124_,83.28
_108_,82.8
_041_,80.98
_083_,80.84
_121_,80.62
_088_,79.94
_154_,79.58
net24,79.04
_019_,78.2
_096_,76.95
_028_,75.88
_139_,74.8
_095_,74.44
net28,73.67
_005_,73.61
net26,73
_037_,71.96
_167_,71.86
net25,71.52
_007_,71.14
_032_,71
_117_,70.92
_123_,70.22
_132_,69.84
_168_,69.64
_126_,69.54
_065_,69.46
_024_,69.11
_018_,67.92
_042_,67.78
_145_,67.14
_084_,66.46
_017_,65.76
_152_,64.6
_074_,64.3
_004_,64.115
_157_,63.98
_056_,63.52
_091_,63.47
_127_,63.47
_048_,63.24
_020_,62.7
_135_,61.59
_136_,61.25
_109_,60
_051_,59.78
_120_,59.78
_140_,59.26
net32,58.4
_003_,57.56
_147_,57.28
_094_,57.16
_097_,56.72
_137_,56.06
_086_,55.3
_040_,54.04
_009_,53.78
_036_,53.17
_165_,52.86
_081_,50.905
_053_,49.78
_093_,49.5
_054_,49.44
_016_,47.6
_077_,47.28
net1,47.28
_146_,46.96
_026_,46.9
_034_,46.56
net31,46.5
_060_,45.84
_159_,45.52
_061_,44.6
_089_,43.88
_160_,42.66
_052_,41.44
_148_,41.22
_085_,40.06
_006_,38.86
net21,35.24
_144_,34.38
_046_,34.08
_131_,33.54
net27,31.9
_021_,31.22
_149_,30.9
_070_,30.84
_055_,30.42
_047_,29.82
_122_,29.52
_078_,29.32
_142_,28.33
_049_,26.84
_087_,26.52
net33,24.3
_058_,23.64
_045_,20.98
_130_,20.66
_069_,20.06
_013_,19.56
_022_,19.34
out[0],16.49
_062_,15.4
_067_,15.38
_076_,14.92
net30,14.14
_044_,13.96
_075_,11
net29,10.2
out[7],8.93
opcode[2],8.81
B[1],8.39
opcode[1],8.13
out[6],8.07
out[2],7.57
opcode[0],7.03
out[5],7.01
B[3],6.77
B[7],6.77
A[3],6.31
A[7],6.31
out[1],6.21
A[1],6.09
A[5],5.97
B[5],5.97
_161_,5.74
A[4],5.41
B[0],5.41
B[4],5.41
A[6],5.07
B[6],5.07
A[0],4.95
out[3],4.85
out[4],4.85
A[2],4.61
B[2],4.61
_072_,2.18
