net,length_um
_2968_,729.36
_1156_,693.315
_1190_,646.285
_1291_,611.25
_3672_,604.17
_3781_,598.34
_4205_,590.48
_1134_,585.05
_1024_,581.26
clknet_0_CLK,551.79
_3926_,545.31
_1145_,539.98
_1755_,539.49
_3008_,538.9
_3806_,532.9
_1139_,532.76
_1771_,527.48
_3890_,526.62
_3708_,526.08
_1728_,519.85
net103,519.29
net106,518.865
_1742_,518.65
_3998_,516.81
_3853_,509.04
_3915_,505.73
_3389_,505.31
_4034_,498.93
_3368_,497.52
_3029_,497.25
_1140_,496.55
_3828_,495.54
_4106_,493.55
_4189_,491.18
_3625_,490.7
_1628_,488.73
_3842_,483.36
_1950_,482.32
_3078_,481.305
_1137_,481.22
_4178_,481.21
_1173_,480.29
_1133_,479.88
_1747_,477.08
_1168_,476.34
_4095_,474.26
_2987_,469.055
_4070_,467.09
_1135_,466.37
_3636_,465.84
net92,465.22
_1154_,463.6
_1741_,463.41
_1126_,459.59
_3227_,459.5
_3179_,458.47
_4023_,455.62
_1120_,451.805
_1744_,451.565
_1735_,451.56
_3105_,451.5
_1948_,451.325
_1940_,450.93
_3879_,449.51
_1123_,448.71
_3153_,448.465
_1927_,448.22
_3755_,447.71
net46,445.34
_4142_,444.38
_3683_,443.57
_1660_,442.89
_1651_,442.73
_3661_,442.69
_4059_,442.49
_3527_,438.39
_3299_,437.73
_1663_,435.52
net5,435.44
_3697_,433.08
_3770_,433.08
_1144_,432.3
_1312_,432.27
_1147_,429.02
_1117_,427.81
_1630_,427.34
_3901_,425.74
_1199_,425.68
_1943_,422.72
_4167_,421.6
_3574_,419.49
_3610_,417.52
_1330_,416.535
clknet_3_6__leaf_CLK,415.98
_3263_,415.75
net81,415.34
_3864_,414.41
_1119_,414.05
net107,411.8
_1307_,410.78
_3067_,409.64
_1964_,409.245
_1034_,408.8
_1122_,408.06
_1183_,407.93
_3056_,407.86
_1707_,407.8
_3792_,407.64
_1295_,407.4
_1773_,406.94
_3937_,406.72
_1116_,405.17
_3278_,404.51
_1298_,403.66
_1129_,403.33
_1772_,402.125
_3347_,399.55
_3168_,399.09
_1749_,398.89
_3599_,398.89
_3647_,398.64
_1381_,398.2
_1982_,398.155
_3516_,397.97
_1872_,397.42
_1998_,397.4
_1158_,397.04
_3817_,396.7
_1191_,396.69
_1737_,396.39
_1284_,396.04
_1694_,395.03
_4117_,394.41
_1902_,392.28
_3588_,392.13
_4081_,392
_1750_,391.96
_1113_,391.65
_4131_,390.45
_3205_,389.81
_1198_,388.38
_1172_,387.18
_3094_,386.775
_1294_,386.24
_1125_,383.41
_4009_,383.205
net38,381.52
_1149_,379.75
_3190_,378.17
_4045_,377.89
_3733_,377.18
clknet_3_1__leaf_CLK,376.41
_1128_,376.27
_1302_,376.25
clknet_3_0__leaf_CLK,375.87
_1163_,374.12
_1042_,373.835
_3216_,373.5
net100,372.495
_4216_,372.29
CLK,371.12
_3116_,370.53
_3444_,369.94
net43,368.93
_1321_,367.97
_1703_,367.12
_3719_,366.85
_1283_,365.605
_3408_,365.57
_1303_,365.08
_1203_,364.6
_1652_,364.5
_3987_,364.395
_2165_,363.63
_1329_,363.56
_3744_,362.03
_3131_,361.52
_2087_,361.37
_1768_,359.56
_1888_,358.96
_1146_,356.83
_3538_,356
_1653_,355.7
_3241_,354.51
_1842_,354.24
_1192_,353.39
_3252_,353.19
_1704_,352.26
net40,352.22
_2149_,351.51
_1764_,351.185
_1958_,350.62
_1197_,347.34
_4153_,347.21
_2086_,345.5
_1698_,343.98
_1641_,343.695
_1960_,342.45
net42,340.78
_3502_,340.45
clknet_3_3__leaf_CLK,340.06
net9,339.9
_1180_,339.26
_1709_,334.68
_1044_,333.82
net37,332.98
_1959_,332.67
_1159_,332.59
_1952_,332.44
_3491_,332.19
_1143_,332.02
_1148_,331.06
_1693_,330.29
net47,329.86
_1309_,329.5
_1711_,329.1
_1181_,328.49
_3552_,327.95
_3142_,327.53
_1699_,327.22
_2074_,326.91
_1966_,326.76
_1732_,324.6
clknet_3_4__leaf_CLK,324.13
_1730_,323.49
net41,323.4
_1127_,322.39
_2081_,322.39
net36,322.18
_1700_,321.52
_3430_,320.11
_3480_,320.11
_1955_,319.545
_1856_,319.2
net25,319.19
_1643_,317.22
net137,316.76
_3973_,314.08
_3320_,312.72
net10,312.4
_1939_,311.55
_3563_,311.405
_1951_,310.43
net111,308.3
_1320_,308.04
_1683_,306.935
net112,304.28
net82,302.18
_3951_,301.89
_1695_,299.95
_2071_,299.92
_2263_,299.87
_1919_,297.275
net136,296.12
_1397_,294.67
_1358_,294.5
clknet_3_2__leaf_CLK,293.73
_1031_,291.91
_1655_,290.86
_3466_,290.12
net134,289.775
_2032_,288.845
_4094_,287.49
net132,286.92
_3962_,285.71
_3455_,284.95
_1293_,284.6
_1918_,280.5
_2070_,280.29
_1731_,280.15
net11,280.06
net83,279.99
_1817_,279.56
net99,279.5
_1816_,278.03
net14,277.66
_1074_,277.53
_1810_,277.39
_1930_,277.26
_1282_,276.32
_1118_,275.33
_1929_,275
_1035_,271.95
_1429_,271.77
_2008_,270.95
_1160_,270.46
clknet_3_7__leaf_CLK,270.15
_1061_,269.84
_4022_,268.73
_1666_,268.46
_3696_,266.82
net109,265.8
net48,265.72
_2016_,265.35
_1026_,264.45
net110,264.4
_1095_,262.68
_1826_,262.62
net98,262.5
_1656_,262.22
_1301_,261.78
_1036_,261.545
_1054_,261.36
_1920_,261.19
_1682_,260.16
_1729_,260.1
_1778_,259.46
_3419_,257.15
_3878_,256.18
_1393_,256.08
_1410_,255.34
_1757_,254.63
net12,254.61
_1328_,252.48
_2193_,252.33
net45,251.69
_1344_,251.45
_1383_,251.28
_1025_,250.43
net101,249.15
_2967_,248.86
net130,247.86
_1382_,247.48
net97,246.73
net133,246.32
_2009_,245.92
clknet_3_5__leaf_CLK,244.7
_2078_,244.64
net4,243.26
_2077_,242.91
_1411_,242.76
_3986_,241.71
_3167_,241.39
_2062_,240.6
_1394_,238.15
net102,237.6
_3093_,236.89
_1797_,236.7
net44,236.665
_1492_,236.05
net39,236.03
net131,235.76
_2046_,235.61
net95,234.76
_1727_,234.72
net13,234.59
_1734_,234.28
_1685_,234.03
_1415_,233.82
_3914_,232.74
_1684_,231.25
_2296_,231.25
_1030_,230.635
net30,228.48
