net,length_um
_0615_,578.02
_0729_,559.435
_0854_,556.895
_0562_,485.88
_1295_,449.73
_0843_,446.085
clknet_2_2__leaf_clk,410.82
clk,390.76
_2449_,382.58
_0642_,377.65
net2,377.51
_2432_,374.335
_0610_,355.83
_2023_,354.19
_0859_,348.38
_0699_,340.5
_0961_,336.47
_2186_,335.74
_1314_,330.78
_0731_,327.7
_2436_,322.89
_1339_,321.12
_0639_,319.96
clknet_2_3__leaf_clk,315.42
_2024_,313.69
_0876_,308.15
clknet_0_clk,300.45
_2174_,298.97
clknet_2_0__leaf_clk,297.41
_0700_,290.03
_0853_,289.05
_1174_,288.34
net1,281.3
_2105_,277.03
_0735_,276
clknet_2_1__leaf_clk,274.87
_0561_,272.37
_0710_,271.705
_0688_,260.93
_2491_,260.31
_0701_,260.05
_2091_,259.83
_2046_,259.725
_0721_,259.06
_1110_,258.01
_2161_,257.79
_0593_,256.66
_1300_,256.43
net42,256.06
_2035_,253.89
_1028_,253.83
_0863_,252.7
_0864_,252.53
_2230_,248.9
_1609_,248.19
_0613_,246.93
_1310_,246.92
_1205_,246.22
_2468_,245.14
_2117_,244.15
_1555_,242.895
_0684_,242.44
_1196_,240.99
_0548_,239.04
_2480_,237.16
_0611_,236.8
_1351_,236.76
_2092_,236.46
_1311_,235.155
_0844_,234.8
_1385_,234.05
_2241_,228.59
_0821_,227.49
_1560_,225.88
_1552_,225.38
_1100_,224.82
_0820_,223.76
_0921_,221.52
_1069_,220.11
_1092_,219.89
_2252_,219.82
_1536_,217.54
_0875_,217.23
_1164_,216.365
_0866_,216.31
_0725_,215.76
_1088_,215.74
_1183_,214.87
_0584_,211.78
_1285_,209.8
_1386_,209.49
_0705_,207.9
_0685_,206.18
_1168_,205.98
_0871_,204.74
_1998_,203.58
_1223_,201.425
_1384_,199.88
_1312_,196.9
_1592_,196.7
_0867_,196.62
_0622_,195.36
_2229_,193.99
_0720_,193.76
_0922_,190.52
_0870_,190.04
_0514_,189.72
_0903_,188.02
_0682_,186.91
_0527_,186.39
_0702_,186.14
_1215_,186.05
_0714_,185.5
_0657_,185.31
_1313_,183.84
_0696_,182.5
_0686_,182.46
_2284_,181.16
_0883_,179.2
_0694_,178.07
_0620_,175.22
_0695_,173.05
_1348_,172.87
_0850_,169.43
_0865_,169.38
_1260_,169.18
_1709_,169.15
_1192_,167.1
_1224_,166.92
_0569_,166.78
_1299_,166.16
net7,164.24
_0693_,164.16
_1449_,161.83
_1982_,161.56
_1540_,160.26
_1657_,155.06
_2010_,153.44
_0598_,153.06
_0653_,152.64
_1557_,152.18
_0675_,151.92
clknet_leaf_32_clk,150.59
_0637_,150.08
_1252_,149.83
_0849_,148.815
_1739_,148.44
_1156_,147.36
_0698_,146.12
net6,145.78
_1493_,145.68
_2160_,144.62
_0848_,142.98
clknet_leaf_7_clk,142.18
_0692_,140.44
_1797_,140.06
