net,length_um
_0618_,1508.94
imem_inst.address\[2\],1505.7
_0469_,1432.8
_0201_,1397.24
_0572_,1343.5
_0171_,1334.48
_0202_,1325.55
_0131_,1321.9
_0574_,1312.58
_0200_,1297.43
_0573_,1283.94
_0575_,1282.76
_0204_,1268.07
_0541_,1258.49
display_inst.digit_select\[1\],1231.28
_0195_,1222.82
_0341_,1202.2
_0420_,1185.02
imem_inst.address\[4\],1130.74
imem_inst.address\[5\],1130.22
_0525_,1119.18
display_inst.counter\[10\],1118.92
_0344_,1114.03
_0130_,1100.91
net2,1096.34
_0188_,1090.4
_0283_,1089.77
_0193_,1075.37
_0169_,1072.44
display_inst.counter\[3\],1068.24
_0519_,978.42
_0199_,973.38
_0543_,970.17
_0263_,967.275
regfile_inst.registers\[25\]\[13\],965.91
_0550_,949.2
_0594_,948.07
display_inst.counter\[7\],945.86
clknet_0_clk,923.66
_0517_,906.54
_0133_,897.65
regfile_inst.registers\[15\]\[11\],893.32
_0207_,888.34
_0514_,888.1
_0338_,884.81
display_inst.counter\[9\],878.44
_0135_,871.04
_0398_,870.89
_0346_,864.5
regfile_inst.registers\[15\]\[15\],859.69
display_inst.counter\[11\],857.74
_0253_,857.34
net1,853.96
regfile_inst.registers\[10\]\[13\],853.29
imem_inst.address\[10\],850.85
_0157_,847.24
_0282_,841.82
display_inst.digit_select\[0\],840.5
imem_inst.address\[28\],835.74
_0205_,830.87
imem_inst.address\[7\],828.98
_0139_,826.6
_0362_,826.04
_0555_,824.88
_0576_,824.8
_0515_,821.58
_0210_,817.52
_0172_,817.06
_0295_,814.53
_0134_,811.32
_0373_,810.75
_0524_,810.34
_0186_,809.39
display_inst.counter\[17\],807.66
_0553_,807.6
_0306_,807.4
display_inst.counter\[12\],802.82
_0006_,802.32
_0238_,799.74
_0192_,792.6
regfile_inst.registers\[15\]\[12\],791.74
net7,790.66
display_inst.counter\[14\],788.45
_0507_,787.7
_0236_,785.92
regfile_inst.registers\[25\]\[8\],785.68
_0212_,782.94
display_inst.counter\[15\],782.38
_0216_,775
_0185_,772.16
_0447_,770.53
_0490_,770.48
_0337_,765.46
_0256_,763.16
