net,length_um
_000_,270.74
_156_,251.6
counter.one_second_counter\[17\],225.78
_073_,225.5
_155_,221.785
_157_,218.35
counter.count\[0\],216.61
_092_,209.05
_106_,206.69
counter.one_second_counter\[18\],198.005
_126_,190.245
counter.one_second_counter\[16\],189.3
_083_,178.945
counter.one_second_counter\[0\],177.32
counter.one_second_counter\[19\],175.3
counter.one_second_enable,172.46
counter.one_second_counter\[13\],171.88
_066_,169.43
counter.one_second_counter\[1\],168.24
counter.one_second_counter\[9\],166.51
counter.one_second_counter\[6\],164.15
counter.one_second_counter\[14\],163.99
counter.one_second_counter\[10\],163.9
_097_,163.4
counter.one_second_counter\[22\],162.37
counter.one_second_counter\[20\],153.6
_135_,152.74
counter.one_second_counter\[4\],151.33
_147_,141.27
_153_,141.2
counter.count\[2\],138.68
counter.one_second_counter\[11\],138.41
_113_,134.1
net1,133.6
_146_,133.12
clknet_2_2__leaf_clk,131.74
_064_,128.68
_071_,126.83
counter.count\[1\],126.56
counter.one_second_counter\[8\],125.48
_082_,123.53
counter.one_second_counter\[24\],123.07
_050_,122.29
counter.one_second_counter\[21\],121.41
_117_,121.06
counter.one_second_counter\[25\],119.85
_075_,119
counter.one_second_counter\[26\],116.32
_067_,115.92
_049_,114.53
_128_,114.21
_006_,113.3
counter.one_second_counter\[2\],108.4
_142_,107.9
clknet_2_3__leaf_clk,105.7
_030_,103.4
counter.one_second_counter\[23\],102.67
_148_,98.98
_099_,98.16
counter.one_second_counter\[5\],97.1
_074_,95.82
_096_,93.58
_060_,93.32
_042_,92.52
_134_,91.8
counter.one_second_counter\[3\],91.72
counter.count\[3\],90.64
_151_,89.82
net7,89.46
_132_,89.22
_056_,88.33
counter.one_second_counter\[15\],87.965
_139_,87.1
_131_,87.06
_054_,86.89
_016_,85.71
_058_,85.7
_021_,84.73
_111_,84.62
counter.one_second_counter\[12\],84.52
_009_,84.24
_034_,83.8
_003_,83.54
_007_,83.54
_053_,81.86
_015_,81.46
net8,79.66
_145_,77.96
_085_,77.43
_110_,76.86
_141_,75.54
_103_,75.24
_120_,75.02
_023_,73.96
_081_,73.86
_027_,73
_018_,72.59
_140_,71.64
_149_,71.08
clknet_2_1__leaf_clk,70.96
_043_,70.83
_144_,70.82
clk,70.79
net6,70.66
_001_,69.14
counter.one_second_counter\[7\],68.32
_109_,66.36
_002_,66.34
_065_,66.04
clknet_0_clk,65.49
_101_,63.36
_012_,62.78
_122_,62.14
_017_,61.86
_029_,61.4
_115_,60.9
clknet_2_0__leaf_clk,60.465
_033_,60.11
net5,60.02
_028_,59.34
_051_,58.91
_076_,58.22
_077_,57.78
_089_,56.18
_044_,55.67
_150_,55.34
_123_,53.18
_031_,52.82
_026_,52.78
_086_,52.74
_116_,52.74
_138_,52.62
_094_,52.02
_041_,50.91
_107_,49.19
_070_,49.06
_048_,48.99
_025_,47.185
_098_,46.96
_039_,46.76
_091_,46.58
_121_,46.12
_072_,46.06
_019_,45.68
_095_,45.52
_088_,45.4
_125_,44.26
_118_,43.86
_057_,43.03
net4,42.8
_032_,42.67
_020_,42.52
_090_,42.52
_005_,42.48
_102_,42.3
_129_,42.3
_059_,41.8
_108_,40
net3,39.66
_069_,38.54
_080_,37.76
_124_,37.68
_035_,37.23
_040_,36.95
_152_,36.86
_024_,36.74
_045_,36.59
_063_,35.76
_010_,35.4
_047_,34.95
_104_,34.42
_119_,33.84
_114_,33.2
_046_,33
_008_,32
_061_,30.26
_037_,29.59
_022_,29.02
_078_,28.78
_100_,28.68
_079_,28.58
_112_,27.24
_136_,27.11
_133_,24.66
_068_,23.88
_055_,22.89
_093_,20.7
_105_,20.46
_011_,19.74
_137_,19.08
_004_,18.5
_084_,18.14
net2,18.06
_087_,16.5
_130_,16.44
_013_,15.54
_014_,15.5
_052_,15.11
_154_,13.04
_127_,11.96
_143_,10.9
_038_,9.93
_036_,9.44
net11,6.69
seg[0],6.69
rst,5.97
net16,5.77
net9,5.75
net10,5.07
net15,4.73
_062_,4.46
net12,4.39
net13,4.39
net14,4.39
seg[1],4.39
seg[2],4.39
seg[3],4.39
seg[4],4.39
seg[5],4.39
seg[6],4.39
